GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hello-world,default,OrderProcessor,0,36,1,7,0,9,1,5,0,2
hello-world,hello.main,HelloWorld,7,0,0,0,3,0,2,0,2,0
